FID,BoroCT2010,Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T004_009,SE_T004_010,SE_T004_011,SE_T004_012,SE_T004_013,SE_T004_014,SE_T004_015,SE_T004_016,SE_T004_017,SE_T004_018,SE_T004_019,SE_T004_020,SE_T004_021,SE_T004_022,SE_T004_023,SE_T004_024,SE_T004_025,SE_T004_026,SE_T004_027,SE_T004A001,SE_T004A002,SE_T004A003,SE_T004A004,SE_T004A005,SE_T004A006,SE_T004A007,SE_T004A008,SE_T004A009,SE_T004A010,SE_T004A011,SE_T004A012,SE_T004A013,SE_T004A014,SE_T004A015,SE_T004A016,SE_T004A017,SE_T004A018,SE_T004A019,SE_T004A020,SE_T004A021,SE_T004A022,SE_T004A023,SE_T004A024,SE_T004A025,SE_T004B001,SE_T004B002,SE_T004B003,SE_T004B004,SE_T004B005,SE_T004B006,SE_T004B007,SE_T004B008,SE_T004B009,SE_T004B010,SE_T004B011,SE_T004B012,SE_T004B013,SE_T004B014,SE_T004B015,SE_T004B016,SE_T004B017,SE_T004B018,SE_T004B019,SE_T004B020,SE_T004B021,SE_T004B022,SE_T004B023,SE_T004B024,SE_T004B025,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T008A001,SE_T008A002,SE_T008A003,SE_T008A004,SE_T008A005,SE_T008A006,SE_T008A007,SE_T008A008,SE_T008A009,SE_T008A010,SE_T008A011,SE_T008A012,SE_T008B001,SE_T008B002,SE_T008B003,SE_T008B004,SE_T008B005,SE_T008B006,SE_T008B007,SE_T008B008,SE_T008B009,SE_T008B010,SE_T008B011,SE_T008B012,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T012_009,SE_T012_010,SE_T012_011,SE_T012_012,SE_T012_013,SE_T012_014,SE_T012_015,SE_T012_016,SE_T012_017,SE_T012_018,SE_T012_019,SE_T012_020,SE_T012_021,SE_T012_022,SE_T012_023,SE_T012_024,SE_T012A001,SE_T012A002,SE_T012A003,SE_T012A004,SE_T012A005,SE_T012A006,SE_T012A007,SE_T012A008,SE_T012A009,SE_T012A010,SE_T012A011,SE_T012A012,SE_T012A013,SE_T012A014,SE_T012A015,SE_T012A016,SE_T012A017,SE_T012A018,SE_T012A019,SE_T012A020,SE_T012A021,SE_T012A022,SE_T012A023,SE_T012B001,SE_T012B002,SE_T012B003,SE_T012B004,SE_T012B005,SE_T012B006,SE_T012B007,SE_T012B008,SE_T012B009,SE_T012B010,SE_T012B011,SE_T012B012,SE_T012B013,SE_T012B014,SE_T012B015,SE_T012B016,SE_T012B017,SE_T012B018,SE_T012B019,SE_T012B020,SE_T012B021,SE_T012B022,SE_T012B023,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T017_010,SE_T017_011,SE_T017_012,SE_T017_013,SE_T017_014,SE_T017_015,SE_T017_016,SE_T017_017,SE_T017_018,SE_T017_019,SE_T017_020,SE_T017_021,SE_T017_022,SE_T017_023,SE_T017_024,SE_T017A001,SE_T017A002
10,1006800,Census Tract 68,"Census Tract 68, New York County, New York",36061006800,140,0,36,61,21,,6800,7614,7614,113046.5,0.067352822,0.06735282,0.06735282,0,7614,3566,4048,7614,3566,68,36,34,18,862,990,492,418,316,208,88,36,4048,76,56,32,19,1268,1173,446,308,308,205,114,43,7614,3566,68,104,138,156,1018,2008,2500,2918,3234,3442,3530,4048,76,132,164,183,1451,2624,3070,3378,3686,3891,4005,7614,3566,3498,3462,3428,3410,2548,1558,1066,648,332,124,36,4048,3972,3916,3884,3865,2597,1424,978,670,362,157,43,7614,3566,156,1852,1226,332,4048,183,2441,1062,362,7614,144,92,66,37,2130,2163,938,726,624,413,202,79,7614,144,236,302,339,2469,4632,5570,6296,6920,7333,7535,7614,7470,7378,7312,7275,5145,2982,2044,1318,694,281,79,7614,339,4293,2288,694,7614,144,92,66,37,570,541,267,752,1345,818,532,406,357,369,293,136,195,98,142,173,129,73,79,7614,144,236,302,339,909,1450,1717,2469,3814,4632,5164,5570,5927,6296,6589,6725,6920,7018,7160,7333,7462,7535,7614,7470,7378,7312,7275,6705,6164,5897,5145,3800,2982,2450,2044,1687,1318,1025,889,694,596,454,281,152,79,3566,156,1852,1226,332,4048,183,2441,1062,362,5777,110,67,53,27,364,355,173,618,1098,608,410,307,267,274,218,108,145,82,111,136,111,63,72,5777,110
11,1008900,Census Tract 89,"Census Tract 89, New York County, New York",36061008900,140,0,36,61,21,,8900,5708,5708,89286.2,0.063929254,0.06392925,0.06392925,0,5708,3057,2651,5708,3057,114,72,57,45,243,702,708,509,323,186,78,20,2651,95,66,60,59,326,672,413,349,300,178,91,42,5708,3057,114,186,243,288,531,1233,1941,2450,2773,2959,3037,2651,95,161,221,280,606,1278,1691,2040,2340,2518,2609,5708,3057,2943,2871,2814,2769,2526,1824,1116,607,284,98,20,2651,2556,2490,2430,2371,2045,1373,960,611,311,133,42,5708,3057,288,945,1540,284,2651,280,998,1062,311,5708,209,138,117,104,569,1374,1121,858,623,364,169,62,5708,209,347,464,568,1137,2511,3632,4490,5113,5477,5646,5708,5499,5361,5244,5140,4571,3197,2076,1218,595,231,62,5708,568,1943,2602,595,5708,209,138,117,104,127,103,74,265,683,691,595,526,471,387,341,112,170,114,115,135,112,57,62,5708,209,347,464,568,695,798,872,1137,1820,2511,3106,3632,4103,4490,4831,4943,5113,5227,5342,5477,5589,5646,5708,5499,5361,5244,5140,5013,4910,4836,4571,3888,3197,2602,2076,1605,1218,877,765,595,481,366,231,119,62,3057,288,945,1540,284,2651,280,998,1062,311,4295,145,78,55,54,60,51,45,192,543,543,465,423,374,305,255,98,145,90,88,106,84,44,52,4295,145
12,1009600,Census Tract 96,"Census Tract 96, New York County, New York",36061009600,140,0,36,61,21,,9600,155,155,2289.685,0.067694908,0.06769491,0.06769491,0,155,88,67,155,88,2,1,1,1,7,23,19,14,3,11,5,1,67,2,4,0,0,10,20,10,7,8,5,1,0,155,88,2,3,4,5,12,35,54,68,71,82,87,67,2,6,6,6,16,36,46,53,61,66,67,155,88,86,85,84,83,76,53,34,20,17,6,1,67,65,61,61,61,51,31,21,14,6,1,0,155,88,5,30,36,17,67,6,30,25,6,155,4,5,1,1,17,43,29,21,11,16,6,1,155,4,9,10,11,28,71,100,121,132,148,154,155,151,146,145,144,127,84,55,34,23,7,1,155,11,60,61,23,155,4,5,1,1,0,1,0,16,18,25,13,16,13,8,3,4,4,4,4,8,3,3,1,155,4,9,10,11,11,12,12,28,46,71,84,100,113,121,124,128,132,136,140,148,151,154,155,151,146,145,144,144,143,143,127,109,84,71,55,42,34,31,27,23,19,15,7,4,1,88,5,30,36,17,67,6,30,25,6,104,0,2,1,1,0,0,0,12,13,12,9,13,9,5,3,3,4,1,3,6,3,3,1,104,0
13,1009800,Census Tract 98,"Census Tract 98, New York County, New York",36061009800,140,0,36,61,21,,9800,7316,7316,107011.1,0.068366726,0.06836673,0.06836673,0,7316,3420,3896,7316,3420,108,70,51,22,245,1026,580,483,404,243,146,42,3896,133,68,49,21,354,1155,574,459,492,334,192,65,7316,3420,108,178,229,251,496,1522,2102,2585,2989,3232,3378,3896,133,201,250,271,625,1780,2354,2813,3305,3639,3831,7316,3420,3312,3242,3191,3169,2924,1898,1318,835,431,188,42,3896,3763,3695,3646,3625,3271,2116,1542,1083,591,257,65,7316,3420,251,1271,1467,431,3896,271,1509,1525,591,7316,241,138,100,43,599,2181,1154,942,896,577,338,107,7316,241,379,479,522,1121,3302,4456,5398,6294,6871,7209,7316,7075,6937,6837,6794,6195,4014,2860,1918,1022,445,107,7316,522,2780,2992,1022,7316,241,138,100,43,28,36,38,497,1269,912,653,501,504,438,443,175,278,140,191,246,181,157,107,7316,241,379,479,522,550,586,624,1121,2390,3302,3955,4456,4960,5398,5841,6016,6294,6434,6625,6871,7052,7209,7316,7075,6937,6837,6794,6766,6730,6692,6195,4926,4014,3361,2860,2356,1918,1475,1300,1022,882,691,445,264,107,3420,251,1271,1467,431,3896,271,1509,1525,591,5985,193,102,68,34,21,29,31,398,1011,709,511,391,398,360,389,160,239,124,171,225,167,150,104,5985,193
14,1010000,Census Tract 100,"Census Tract 100, New York County, New York",36061010000,140,0,36,61,21,,10000,1992,1992,29840.57,0.066754749,0.06675475,0.06675475,0,1992,987,1005,1992,987,22,21,11,10,70,264,159,169,127,62,54,18,1005,29,14,16,5,112,305,140,120,110,74,51,29,1992,987,22,43,54,64,134,398,557,726,853,915,969,1005,29,43,59,64,176,481,621,741,851,925,976,1992,987,965,944,933,923,853,589,430,261,134,72,18,1005,976,962,946,941,829,524,384,264,154,80,29,1992,987,64,334,455,134,1005,64,417,370,154,1992,51,35,27,15,182,569,299,289,237,136,105,47,1992,51,86,113,128,310,879,1178,1467,1704,1840,1945,1992,1941,1906,1879,1864,1682,1113,814,525,288,152,47,1992,128,751,825,288,1992,51,35,27,15,13,9,10,150,317,252,176,123,142,147,120,48,69,24,51,61,56,49,47,1992,51,86,113,128,141,150,160,310,627,879,1055,1178,1320,1467,1587,1635,1704,1728,1779,1840,1896,1945,1992,1941,1906,1879,1864,1851,1842,1832,1682,1365,1113,937,814,672,525,405,357,288,264,213,152,96,47,987,64,334,455,134,1005,64,417,370,154,1490,38,23,16,9,11,6,8,110,230,169,119,99,98,113,90,37,59,20,43,57,43,46,46,1490,38
15,1010200,Census Tract 102,"Census Tract 102, New York County, New York",36061010200,140,0,36,61,21,,10200,230,230,3445.508,0.066753591,0.06675359,0.06675359,0,230,126,104,230,126,2,0,2,1,10,15,22,22,29,13,7,3,104,3,5,1,1,7,23,18,10,14,10,8,4,230,126,2,2,4,5,15,30,52,74,103,116,123,104,3,8,9,10,17,40,58,68,82,92,100,230,126,124,124,122,121,111,96,74,52,23,10,3,104,101,96,95,94,87,64,46,36,22,12,4,230,126,5,25,73,23,104,10,30,42,22,230,5,5,3,2,17,38,40,32,43,23,15,7,230,5,10,13,15,32,70,110,142,185,208,223,230,225,220,217,215,198,160,120,88,45,22,7,230,15,55,115,45,230,5,5,3,2,2,1,0,14,18,20,22,18,19,13,20,12,11,6,8,9,9,6,7,230,5,10,13,15,17,18,18,32,50,70,92,110,129,142,162,174,185,191,199,208,217,223,230,225,220,217,215,213,212,212,198,180,160,138,120,101,88,68,56,45,39,31,22,13,7,126,5,25,73,23,104,10,30,42,22,176,4,4,3,2,2,1,0,14,15,13,16,11,8,10,13,9,9,5,8,9,8,6,6,176,4
16,1010400,Census Tract 104,"Census Tract 104, New York County, New York",36061010400,140,0,36,61,21,,10400,966,966,14442.65,0.066885252,0.06688526,0.06688526,0,966,481,485,966,481,12,6,5,4,19,80,71,80,78,60,53,13,485,9,5,3,0,34,99,61,70,69,70,46,19,966,481,12,18,23,27,46,126,197,277,355,415,468,485,9,14,17,17,51,150,211,281,350,420,466,966,481,469,463,458,454,435,355,284,204,126,66,13,485,476,471,468,468,434,335,274,204,135,65,19,966,481,27,99,229,126,485,17,133,200,135,966,21,11,8,4,53,179,132,150,147,130,99,32,966,21,32,40,44,97,276,408,558,705,835,934,966,945,934,926,922,869,690,558,408,261,131,32,966,44,232,429,261,966,21,11,8,4,2,3,6,42,77,102,64,68,77,73,67,39,41,21,54,55,62,37,32,966,21,32,40,44,46,49,55,97,174,276,340,408,485,558,625,664,705,726,780,835,897,934,966,945,934,926,922,920,917,911,869,792,690,626,558,481,408,341,302,261,240,186,131,69,32,481,27,99,229,126,485,17,133,200,135,800,19,8,6,3,0,2,2,37,58,71,53,52,63,61,52,35,39,18,49,52,58,34,28,800,19
17,1011201,Census Tract 112.01,"Census Tract 112.01, New York County, New York",36061011201,140,0,36,61,21,,11201,992,992,32303.21,0.030709023,0.03070902,0.03070902,0,992,428,564,992,428,20,9,6,9,24,79,70,66,75,38,23,9,564,24,12,11,8,28,107,77,86,90,66,34,21,992,428,20,29,35,44,68,147,217,283,358,396,419,564,24,36,47,55,83,190,267,353,443,509,543,992,428,408,399,393,384,360,281,211,145,70,32,9,564,540,528,517,509,481,374,297,211,121,55,21,992,428,44,103,211,70,564,55,135,253,121,992,44,21,17,17,52,186,147,152,165,104,57,30,992,44,65,82,99,151,337,484,636,801,905,962,992,948,927,910,893,841,655,508,356,191,87,30,992,99,238,464,191,992,44,21,17,17,8,2,1,41,92,94,73,74,73,79,77,36,52,29,27,48,30,27,30,992,44,65,82,99,107,109,110,151,243,337,410,484,557,636,713,749,801,830,857,905,935,962,992,948,927,910,893,885,883,882,841,749,655,582,508,435,356,279,243,191,162,135,87,57,30,428,44,103,211,70,564,55,135,253,121,867,39,19,15,14,6,2,1,33,72,65,67,59,64,71,74,35,49,28,26,42,29,27,30,867,39
18,1011202,Census Tract 112.02,"Census Tract 112.02, New York County, New York",36061011202,140,0,36,61,21,,11202,441,441,14641.89,0.030119058,0.03011906,0.03011906,0,441,200,241,441,200,6,4,6,4,12,26,18,26,29,36,26,7,241,7,14,4,4,7,36,20,37,37,45,19,11,441,200,6,10,16,20,32,58,76,102,131,167,193,241,7,21,25,29,36,72,92,129,166,211,230,441,200,194,190,184,180,168,142,124,98,69,33,7,241,234,220,216,212,205,169,149,112,75,30,11,441,200,20,38,73,69,241,29,43,94,75,441,13,18,10,8,19,62,38,63,66,81,45,18,441,13,31,41,49,68,130,168,231,297,378,423,441,428,410,400,392,373,311,273,210,144,63,18,441,49,81,167,144,441,13,18,10,8,3,0,0,16,28,34,25,13,34,29,24,20,22,16,29,36,28,17,18,441,13,31,41,49,52,52,52,68,96,130,155,168,202,231,255,275,297,313,342,378,406,423,441,428,410,400,392,389,389,389,373,345,311,286,273,239,210,186,166,144,128,99,63,35,18,200,20,38,73,69,241,29,43,94,75,373,11,13,6,6,1,0,0,13,24,22,18,8,32,25,21,17,20,16,27,33,25,17,18,373,11
19,1011203,Census Tract 112.03,"Census Tract 112.03, New York County, New York",36061011203,140,0,36,61,21,,11203,1401,1401,46551.8,0.030095506,0.03009551,0.03009551,0,1401,629,772,1401,629,23,17,17,4,17,150,89,82,71,94,48,17,772,21,21,16,6,62,193,78,76,109,105,53,32,1401,629,23,40,57,61,78,228,317,399,470,564,612,772,21,42,58,64,126,319,397,473,582,687,740,1401,629,606,589,572,568,551,401,312,230,159,65,17,772,751,730,714,708,646,453,375,299,190,85,32,1401,629,61,167,242,159,772,64,255,263,190,1401,44,38,33,10,79,343,167,158,180,199,101,49,1401,44,82,115,125,204,547,714,872,1052,1251,1352,1401,1357,1319,1286,1276,1197,854,687,529,349,150,49,1401,125,422,505,349,1401,44,38,33,10,2,5,9,63,203,140,90,77,77,81,81,43,56,38,69,92,65,36,49,1401,44,82,115,125,127,132,141,204,407,547,637,714,791,872,953,996,1052,1090,1159,1251,1316,1352,1401,1357,1319,1286,1276,1274,1269,1260,1197,994,854,764,687,610,529,448,405,349,311,242,150,85,49,629,61,167,242,159,772,64,255,263,190,1199,34,28,26,8,2,5,7,51,167,119,67,67,65,68,69,40,49,32,67,87,61,33,47,1199,34
20,1011300,Census Tract 113,"Census Tract 113, New York County, New York",36061011300,140,0,36,61,21,,11300,117,117,1725.155,0.067820005,0.06782001,0.06782001,0,117,72,45,117,72,0,0,0,0,6,31,13,16,6,0,0,0,45,0,0,0,0,12,23,4,3,3,0,0,0,117,72,0,0,0,0,6,37,50,66,72,72,72,45,0,0,0,0,12,35,39,42,45,45,45,117,72,72,72,72,72,66,35,22,6,0,0,0,45,45,45,45,45,33,10,6,3,0,0,0,117,72,0,37,35,0,45,0,35,10,0,117,0,0,0,0,18,54,17,19,9,0,0,0,117,0,0,0,0,18,72,89,108,117,117,117,117,117,117,117,117,99,45,28,9,0,0,0,117,0,72,45,0,117,0,0,0,0,2,2,3,11,39,15,8,9,10,9,5,4,0,0,0,0,0,0,0,117,0,0,0,0,2,4,7,18,57,72,80,89,99,108,113,117,117,117,117,117,117,117,117,117,117,117,117,115,113,110,99,60,45,37,28,18,9,4,0,0,0,0,0,0,0,72,0,37,35,0,45,0,35,10,0,60,0,0,0,0,1,1,2,6,16,10,6,8,2,3,3,2,0,0,0,0,0,0,0,60,0
21,1011402,Census Tract 114.02,"Census Tract 114.02, New York County, New York",36061011402,140,0,36,61,21,,11402,2397,2397,62836.68,0.038146509,0.03814651,0.03814651,0,2397,1079,1318,2397,1079,59,29,27,19,40,171,139,152,156,154,103,30,1318,50,26,40,13,83,226,153,158,207,204,108,50,2397,1079,59,88,115,134,174,345,484,636,792,946,1049,1318,50,76,116,129,212,438,591,749,956,1160,1268,2397,1079,1020,991,964,945,905,734,595,443,287,133,30,1318,1268,1242,1202,1189,1106,880,727,569,362,158,50,2397,1079,134,211,447,287,1318,129,309,518,362,2397,109,55,67,32,123,397,292,310,363,358,211,80,2397,109,164,231,263,386,783,1075,1385,1748,2106,2317,2397,2288,2233,2166,2134,2011,1614,1322,1012,649,291,80,2397,263,520,965,649,2397,109,55,67,32,20,6,9,88,194,203,151,141,136,174,169,67,127,78,119,161,126,85,80,2397,109,164,231,263,283,289,298,386,580,783,934,1075,1211,1385,1554,1621,1748,1826,1945,2106,2232,2317,2397,2288,2233,2166,2134,2114,2108,2099,2011,1817,1614,1463,1322,1186,1012,843,776,649,571,452,291,165,80,1079,134,211,447,287,1318,129,309,518,362,2156,92,47,58,28,20,4,9,75,167,172,126,124,119,157,156,62,118,73,117,153,119,81,79,2156,92
22,1013000,Census Tract 130,"Census Tract 130, New York County, New York",36061013000,140,0,36,61,21,,13000,4195,4195,60961.92,0.068813446,0.06881344,0.06881344,0,4195,1907,2288,4195,1907,84,113,104,53,46,109,179,277,311,342,214,75,2288,67,100,102,60,75,121,255,298,449,379,255,127,4195,1907,84,197,301,354,400,509,688,965,1276,1618,1832,2288,67,167,269,329,404,525,780,1078,1527,1906,2161,4195,1907,1823,1710,1606,1553,1507,1398,1219,942,631,289,75,2288,2221,2121,2019,1959,1884,1763,1508,1210,761,382,127,4195,1907,354,155,767,631,2288,329,196,1002,761,4195,151,213,206,113,121,230,434,575,760,721,469,202,4195,151,364,570,683,804,1034,1468,2043,2803,3524,3993,4195,4044,3831,3625,3512,3391,3161,2727,2152,1392,671,202,4195,683,351,1769,1392,4195,151,213,206,113,34,13,10,64,95,135,176,258,260,315,337,164,259,152,239,330,279,190,202,4195,151,364,570,683,717,730,740,804,899,1034,1210,1468,1728,2043,2380,2544,2803,2955,3194,3524,3803,3993,4195,4044,3831,3625,3512,3478,3465,3455,3391,3296,3161,2985,2727,2467,2152,1815,1651,1392,1240,1001,671,392,202,1907,354,155,767,631,2288,329,196,1002,761,3944,142,202,197,108,33,13,10,58,80,117,159,233,229,290,308,158,250,144,234,319,274,189,197,3944,142
23,1014000,Census Tract 140,"Census Tract 140, New York County, New York",36061014000,140,0,36,61,21,,14000,7813,7813,112979.7,0.069153988,0.06915399,0.06915399,0,7813,3526,4287,7813,3526,226,207,180,100,158,522,529,515,445,366,221,57,4287,240,228,192,108,235,703,609,583,552,463,244,130,7813,3526,226,433,613,713,871,1393,1922,2437,2882,3248,3469,4287,240,468,660,768,1003,1706,2315,2898,3450,3913,4157,7813,3526,3300,3093,2913,2813,2655,2133,1604,1089,644,278,57,4287,4047,3819,3627,3519,3284,2581,1972,1389,837,374,130,7813,3526,713,680,1489,644,4287,768,938,1744,837,7813,466,435,372,208,393,1225,1138,1098,997,829,465,187,7813,466,901,1273,1481,1874,3099,4237,5335,6332,7161,7626,7813,7347,6912,6540,6332,5939,4714,3576,2478,1481,652,187,7813,1481,1618,3233,1481,7813,466,435,372,208,75,20,39,259,645,580,558,580,591,507,498,173,326,191,286,352,282,183,187,7813,466,901,1273,1481,1556,1576,1615,1874,2519,3099,3657,4237,4828,5335,5833,6006,6332,6523,6809,7161,7443,7626,7813,7347,6912,6540,6332,6257,6237,6198,5939,5294,4714,4156,3576,2985,2478,1980,1807,1481,1290,1004,652,370,187,3526,713,680,1489,644,4287,768,938,1744,837,7058,399,378,332,199,72,14,35,230,562,506,480,519,514,460,463,159,319,180,277,331,277,173,179,7058,399
24,1014200,Census Tract 142,"Census Tract 142, New York County, New York",36061014200,140,0,36,61,21,,14200,4462,4462,64566.65,0.069106884,0.06910688,0.06910688,0,4462,2051,2411,4462,2051,79,131,155,64,66,107,200,324,333,322,200,70,2411,105,127,131,73,82,149,263,377,427,366,208,103,4462,2051,79,210,365,429,495,602,802,1126,1459,1781,1981,2411,105,232,363,436,518,667,930,1307,1734,2100,2308,4462,2051,1972,1841,1686,1622,1556,1449,1249,925,592,270,70,2411,2306,2179,2048,1975,1893,1744,1481,1104,677,311,103,4462,2051,429,173,857,592,2411,436,231,1067,677,4462,184,258,286,137,148,256,463,701,760,688,408,173,4462,184,442,728,865,1013,1269,1732,2433,3193,3881,4289,4462,4278,4020,3734,3597,3449,3193,2730,2029,1269,581,173,4462,865,404,1924,1269,4462,184,258,286,137,61,15,13,59,130,126,181,282,335,366,366,154,240,160,231,297,235,173,173,4462,184,442,728,865,926,941,954,1013,1143,1269,1450,1732,2067,2433,2799,2953,3193,3353,3584,3881,4116,4289,4462,4278,4020,3734,3597,3536,3521,3508,3449,3319,3193,3012,2730,2395,2029,1663,1509,1269,1109,878,581,346,173,2051,429,173,857,592,2411,436,231,1067,677,4203,173,241,264,128,58,14,13,55,115,106,165,260,311,344,340,149,230,155,221,290,229,169,173,4203,173
25,1014601,Census Tract 146.01,"Census Tract 146.01, New York County, New York",36061014601,140,0,36,61,21,,14601,4274,4274,148929.2,0.028698202,0.0286982,0.0286982,0,4274,1962,2312,4274,1962,95,58,36,24,168,769,319,210,151,75,45,12,2312,76,46,36,13,257,942,362,206,199,107,43,25,4274,1962,95,153,189,213,381,1150,1469,1679,1830,1905,1950,2312,76,122,158,171,428,1370,1732,1938,2137,2244,2287,4274,1962,1867,1809,1773,1749,1581,812,493,283,132,57,12,2312,2236,2190,2154,2141,1884,942,580,374,175,68,25,4274,1962,213,937,680,132,2312,171,1199,767,175,4274,171,104,72,37,425,1711,681,416,350,182,88,37,4274,171,275,347,384,809,2520,3201,3617,3967,4149,4237,4274,4103,3999,3927,3890,3465,1754,1073,657,307,125,37,4274,384,2136,1447,307,4274,171,104,72,37,25,22,22,356,1004,707,387,294,233,183,183,76,91,37,59,86,52,36,37,4274,171,275,347,384,409,431,453,809,1813,2520,2907,3201,3434,3617,3800,3876,3967,4004,4063,4149,4201,4237,4274,4103,3999,3927,3890,3865,3843,3821,3465,2461,1754,1367,1073,840,657,474,398,307,270,211,125,73,37,1962,213,937,680,132,2312,171,1199,767,175,3451,128,80,55,29,17,16,16,296,801,572,294,232,170,147,155,66,86,35,55,81,51,33,36,3451,128
26,1014602,Census Tract 146.02,"Census Tract 146.02, New York County, New York",36061014602,140,0,36,61,21,,14602,7904,7904,187476.1,0.042160041,0.04216004,0.04216004,0,7904,3538,4366,7904,3538,194,104,85,53,203,1078,677,392,357,242,110,43,4366,160,104,101,37,327,1448,725,447,476,305,167,69,7904,3538,194,298,383,436,639,1717,2394,2786,3143,3385,3495,4366,160,264,365,402,729,2177,2902,3349,3825,4130,4297,7904,3538,3344,3240,3155,3102,2899,1821,1144,752,395,153,43,4366,4206,4102,4001,3964,3637,2189,1464,1017,541,236,69,7904,3538,436,1281,1426,395,4366,402,1775,1648,541,7904,354,208,186,90,530,2526,1402,839,833,547,277,112,7904,354,562,748,838,1368,3894,5296,6135,6968,7515,7792,7904,7550,7342,7156,7066,6536,4010,2608,1769,936,389,112,7904,838,3056,3074,936,7904,354,208,186,90,49,30,29,422,1379,1147,778,624,432,407,423,150,260,150,190,207,157,120,112,7904,354,562,748,838,887,917,946,1368,2747,3894,4672,5296,5728,6135,6558,6708,6968,7118,7308,7515,7672,7792,7904,7550,7342,7156,7066,7017,6987,6958,6536,5157,4010,3232,2608,2176,1769,1346,1196,936,786,596,389,232,112,3538,436,1281,1426,395,4366,402,1775,1648,541,6712,283,167,142,68,42,27,25,371,1173,956,632,519,370,349,372,134,235,128,174,185,142,114,104,6712,283
27,1014801,Census Tract 148.01,"Census Tract 148.01, New York County, New York",36061014801,140,0,36,61,21,,14801,2863,2863,142656.4,0.020069205,0.0200692,0.0200692,0,2863,1302,1561,2863,1302,110,69,71,34,54,220,227,154,133,139,67,24,1561,89,89,67,27,73,284,257,171,208,169,91,36,2863,1302,110,179,250,284,338,558,785,939,1072,1211,1278,1561,89,178,245,272,345,629,886,1057,1265,1434,1525,2863,1302,1192,1123,1052,1018,964,744,517,363,230,91,24,1561,1472,1383,1316,1289,1216,932,675,504,296,127,36,2863,1302,284,274,514,230,1561,272,357,636,296,2863,199,158,138,61,127,504,484,325,341,308,158,60,2863,199,357,495,556,683,1187,1671,1996,2337,2645,2803,2863,2664,2506,2368,2307,2180,1676,1192,867,526,218,60,2863,556,631,1150,526,2863,199,158,138,61,16,10,6,95,232,272,256,228,172,153,143,71,127,67,112,129,83,75,60,2863,199,357,495,556,572,582,588,683,915,1187,1443,1671,1843,1996,2139,2210,2337,2404,2516,2645,2728,2803,2863,2664,2506,2368,2307,2291,2281,2275,2180,1948,1676,1420,1192,1020,867,724,653,526,459,347,218,135,60,1302,284,274,514,230,1561,272,357,636,296,2522,166,129,119,59,13,9,6,87,193,238,207,191,150,139,139,65,119,66,108,117,73,71,58,2522,166
28,1014802,Census Tract 148.02,"Census Tract 148.02, New York County, New York",36061014802,140,0,36,61,21,,14802,7066,7066,145684.3,0.048502155,0.04850215,0.04850215,0,7066,3202,3864,7066,3202,197,196,140,69,226,592,551,448,339,262,133,49,3864,206,184,197,81,286,815,635,441,452,332,178,57,7066,3202,197,393,533,602,828,1420,1971,2419,2758,3020,3153,3864,206,390,587,668,954,1769,2404,2845,3297,3629,3807,7066,3202,3005,2809,2669,2600,2374,1782,1231,783,444,182,49,3864,3658,3474,3277,3196,2910,2095,1460,1019,567,235,57,7066,3202,602,818,1338,444,3864,668,1101,1528,567,7066,403,380,337,150,512,1407,1186,889,791,594,311,106,7066,403,783,1120,1270,1782,3189,4375,5264,6055,6649,6960,7066,6663,6283,5946,5796,5284,3877,2691,1802,1011,417,106,7066,1270,1919,2866,1011,7066,403,380,337,150,57,42,43,370,803,604,580,606,482,407,360,160,271,133,192,269,167,144,106,7066,403,783,1120,1270,1327,1369,1412,1782,2585,3189,3769,4375,4857,5264,5624,5784,6055,6188,6380,6649,6816,6960,7066,6663,6283,5946,5796,5739,5697,5654,5284,4481,3877,3297,2691,2209,1802,1442,1282,1011,878,686,417,250,106,3202,602,818,1338,444,3864,668,1101,1528,567,6111,340,318,294,125,46,37,33,320,638,460,481,521,435,369,327,149,250,125,181,255,161,142,104,6111,340
